mi|Xelaev18025179m.g|	 Xelaev18025179m.g
mi|Xelaev18043081m.g|	 kat2a.L
mi|Xelaev18041167m.g|	 ppp1r13b.S
mi|Xelaev18024669m.g|	 Xelaev18024669m.g
mi|Xelaev18004616m.g|	 Xelaev18004616m.g
mi|Xelaev18046355m.g|	 Xelaev18046355m.g
mi|Xelaev18000011m.g|	 Xelaev18000011m.g
mi|Xelaev18032943m.g|	 rpp38.S
mi|Xelaev18002341m.g|	 Xelaev18002341m.g
mi|Xelaev18018745m.g|	 lzts1.L
mi|Xelaev18020694m.g|	 apba2.S
mi|Xelaev18029283m.g|	 gpr6.S
mi|Xelaev18011816m.g|	 loc100489843-like.L
mi|Xelaev18010117m.g|	 Xelaev18010117m.g
mi|Xelaev18044353m.g|	 slc12a8.L
mi|Xelaev18036831m.g|	 plekha1.S
mi|Xelaev18025785m.g|	 rassf1.S
mi|Xelaev18040370m.g|	 Xelaev18040370m.g
mi|Xelaev18043898m.g|	 Xelaev18043898m.g
mi|Xelaev18035744m.g|	 errfi1.L
mi|Xelaev18037108m.g|	 eif4ebp2.S
mi|Xelaev18044840m.g|	 sh3bp4.L
mi|Xelaev18011194m.g|	 Xetrov90019177m.L
mi|Xelaev18036012m.g|	 Xelaev18036012m.g
mi|Xelaev18032343m.g|	 klhl38.L
mi|Xelaev18005852m.g|	 Xelaev18005852m.g
mi|Xelaev18041216m.g|	 Xelaev18041216m.g
mi|Xelaev18000997m.g|	 Xelaev18000997m.g
mi|Xelaev18040639m.g|	 Xelaev18040639m.g
mi|Xelaev18020000m.g|	 c5orf15.S
mi|Xelaev18018187m.g|	 rab27a.L
mi|Xelaev18022790m.g|	 Xelaev18022790m.g
mi|Xelaev18033573m.g|	 fam210a.S
mi|Xelaev18030485m.g|	 loc100137715.L
mi|Xelaev18034021m.g|	 Xelaev18034021m.g
mi|Xelaev18033202m.g|	 ctnnb1.S
mi|Xelaev18037754m.g|	 loc100493573.S
mi|Xelaev18003228m.g|	 Xelaev18003228m.g
mi|Xelaev18030687m.g|	 Xelaev18030687m.g
mi|Xelaev18038543m.g|	 Xelaev18038543m.g
mi|Xelaev18042049m.g|	 rlim.S
mi|Xelaev18033624m.g|	 Xelaev18033624m.g
mi|Xelaev18044922m.g|	 loc100127872.L
mi|Xelaev18026810m.g|	 Xelaev18026810m.g
mi|Xelaev18026630m.g|	 Xelaev18026630m.g
mi|Xelaev18045502m.g|	 loc101732363.L
mi|Xelaev18006469m.g|	 ssbp4.L
mi|Xelaev18023254m.g|	 fam20b.L
mi|Xelaev18046741m.g|	 mfsd11.S
mi|Xelaev18002983m.g|	 Xelaev18002983m.g
mi|Xelaev18021918m.g|	 loc100494804.L
mi|Xelaev18007455m.g|	 ung.L
mi|Xelaev18031324m.g|	 sdha.L
mi|Xelaev18041939m.g|	 Xelaev18041939m.g
mi|Xelaev18038559m.g|	 nup62.L
mi|Xelaev18009601m.g|	 Xelaev18009601m.g
mi|Xelaev18015674m.g|	 gpc6.S
mi|Xelaev18023006m.g|	 Xelaev18023006m.g
mi|Xelaev18011120m.g|	 Xetrov90010191m.S
mi|Xelaev18035244m.g|	 Xelaev18035244m.g
mi|Xelaev18021156m.g|	 Xelaev18021156m.g
mi|Xelaev18035637m.g|	 atad3a.L
mi|Xelaev18040162m.g|	 Xelaev18040162m.g
mi|Xelaev18027554m.g|	 usp13.L
mi|Xelaev18017356m.g|	 tcp11l2.L
